match_id,date,year,format,opponent,venue,toss_winner,toss_decision,pak_innings,pak_runs,pak_wickets,opp_wickets,overs_played,run_rate,first_innings_score,second_innings_score,winner_innings,top_scorer,top_scorer_runs,top_wicket_taker,top_wickets,result
153,2019-10-28,2019,T20,South Africa,Rawalpindi Cricket Stadium,Pakistan,Field,2nd,163,8,7,14.9,10.94,162,163,2nd,Imam-ul-Haq,54,Mohammad Wasim Jr,4,Win
154,2019-11-01,2019,Test,Bangladesh,Lahore (Gaddafi),Pakistan,Field,2nd,392,10,7,118.2,3.32,387,392,2nd,Abdullah Shafique,148,Zaman Khan,2,Win
155,2019-11-10,2019,T20,India,Dubai International,Pakistan,Bat,1st,157,3,5,6.9,22.75,157,121,1st,Mohammad Rizwan,48,Shadab Khan,4,Win
156,2019-11-14,2019,Test,South Africa,Dubai International,South Africa,Bat,2nd,375,5,3,83.1,4.51,375,375,None,Imam-ul-Haq,149,Mohammad Wasim Jr,1,Draw
157,2019-11-23,2019,ODI,Afghanistan,Wanderers,Pakistan,Bat,1st,195,8,8,38.7,5.04,195,205,2nd,Abdullah Shafique,93,Zaman Khan,3,Loss
158,2019-11-25,2019,Test,New Zealand,MCG,Pakistan,Field,2nd,280,7,9,63.3,4.42,278,280,2nd,Babar Azam,102,Imad Wasim,3,Win
159,2019-12-18,2019,T20,Afghanistan,Basin Reserve,Pakistan,Bat,1st,146,5,5,10.8,13.52,146,123,1st,Salman Agha,60,Imad Wasim,2,Win
160,2020-01-08,2020,ODI,England,Abu Dhabi (ADSS),Pakistan,Field,2nd,140,4,6,19.1,7.33,170,140,1st,Imam-ul-Haq,68,Imad Wasim,4,Loss
161,2020-01-14,2020,ODI,Afghanistan,Lahore (Gaddafi),Afghanistan,Field,1st,283,5,6,25.6,11.05,283,233,1st,Shan Masood,140,Zaman Khan,5,Win
162,2020-01-18,2020,T20,Zimbabwe,Basin Reserve,Zimbabwe,Field,1st,113,3,3,7.5,15.07,113,118,2nd,Babar Azam,51,Abrar Ahmed,3,Loss
163,2020-01-25,2020,Test,Bangladesh,Lahore (Gaddafi),Bangladesh,Bat,2nd,424,5,10,51.0,8.31,440,424,1st,Abdullah Shafique,162,Imad Wasim,2,Loss
164,2020-01-28,2020,ODI,West Indies,Wanderers,West Indies,Bat,2nd,295,7,8,36.0,8.19,314,295,1st,Babar Azam,102,Zaman Khan,4,Loss
165,2020-02-10,2020,ODI,West Indies,Abu Dhabi (ADSS),Pakistan,Field,2nd,248,3,4,13.2,18.79,255,248,1st,Mohammad Rizwan,79,Imad Wasim,4,Loss
166,2020-02-26,2020,T20,Bangladesh,Lahore (Gaddafi),Pakistan,Field,2nd,147,5,7,9.8,15.0,158,147,1st,Mohammad Rizwan,54,Imad Wasim,3,Loss
167,2020-02-27,2020,T20,Zimbabwe,Eden Gardens,Zimbabwe,Field,1st,161,10,4,19.4,8.3,161,165,2nd,Mohammad Rizwan,34,Zaman Khan,3,Loss
168,2020-03-04,2020,ODI,South Africa,Abu Dhabi (ADSS),South Africa,Bat,2nd,255,8,8,36.8,6.93,249,255,2nd,Mohammad Rizwan,87,Shadab Khan,3,Win
169,2020-03-17,2020,ODI,South Africa,Basin Reserve,Pakistan,Bat,1st,287,9,7,48.2,5.95,287,294,2nd,Fakhar Zaman,92,Zaman Khan,6,Loss
170,2020-03-19,2020,Test,Bangladesh,Rawalpindi Cricket Stadium,Pakistan,Field,2nd,354,4,8,61.8,5.73,348,354,2nd,Abdullah Shafique,132,Mohammad Wasim Jr,4,Win
171,2020-03-23,2020,Test,New Zealand,Basin Reserve,New Zealand,Field,1st,482,10,9,117.3,4.11,482,493,2nd,Saud Shakeel,169,Shadab Khan,5,Loss
172,2020-03-24,2020,Test,Zimbabwe,Lahore (Gaddafi),Zimbabwe,Field,1st,261,5,8,48.0,5.44,261,266,2nd,Shan Masood,109,Haris Rauf,4,Loss
173,2020-04-05,2020,ODI,Sri Lanka,Basin Reserve,Pakistan,Field,2nd,278,7,6,35.3,7.88,298,278,1st,Salman Agha,118,Naseem Shah,6,Loss
174,2020-04-18,2020,ODI,South Africa,Abu Dhabi (ADSS),South Africa,Field,1st,260,5,6,28.4,9.15,260,241,1st,Imam-ul-Haq,89,Abrar Ahmed,4,Win
175,2020-04-20,2020,Test,Sri Lanka,Dubai International,Pakistan,Bat,1st,343,3,9,76.7,4.47,343,309,1st,Salman Agha,126,Naseem Shah,3,Win
176,2020-04-25,2020,Test,South Africa,Lahore (Gaddafi),South Africa,Bat,2nd,455,9,5,37.4,12.17,455,455,None,Fakhar Zaman,215,Imad Wasim,4,Draw
177,2020-05-02,2020,Test,South Africa,Karachi (NSK),Pakistan,Field,2nd,387,8,4,134.3,2.88,401,387,1st,Imam-ul-Haq,143,Mohammad Wasim Jr,3,Loss
178,2020-05-15,2020,ODI,Australia,Wanderers,Pakistan,Bat,1st,289,7,5,34.1,8.48,289,0,None,Shan Masood,109,Shaheen Afridi,2,No Result
179,2020-05-21,2020,ODI,Zimbabwe,Karachi (NSK),Zimbabwe,Field,1st,288,9,6,45.4,6.34,288,300,2nd,Fakhar Zaman,97,Haris Rauf,5,Loss
180,2020-06-02,2020,Test,India,Lord's,Pakistan,Field,2nd,401,3,5,91.9,4.36,427,401,1st,Babar Azam,180,Mohammad Wasim Jr,3,Loss
181,2020-06-11,2020,Test,Bangladesh,Lahore (Gaddafi),Pakistan,Bat,1st,339,5,5,81.8,4.14,339,336,1st,Shan Masood,132,Haris Rauf,2,Win
182,2020-06-20,2020,ODI,Zimbabwe,Dubai International,Zimbabwe,Bat,2nd,269,5,5,24.4,11.02,259,269,2nd,Mohammad Rizwan,97,Abrar Ahmed,1,Win
183,2020-06-20,2020,T20,South Africa,Basin Reserve,Pakistan,Bat,1st,166,8,6,17.9,9.27,166,173,2nd,Salman Agha,39,Shaheen Afridi,4,Loss
184,2020-07-16,2020,Test,India,Eden Gardens,Pakistan,Bat,1st,402,8,9,84.0,4.79,402,410,2nd,Imam-ul-Haq,132,Zaman Khan,2,Loss
185,2020-08-16,2020,T20,West Indies,Dubai International,Pakistan,Field,2nd,160,5,8,9.2,17.39,175,160,1st,Shan Masood,63,Naseem Shah,4,Loss
186,2020-08-17,2020,T20,Sri Lanka,Dubai International,Pakistan,Field,2nd,181,9,3,16.9,10.71,208,181,1st,Babar Azam,36,Mohammad Wasim Jr,2,Loss
187,2020-08-28,2020,Test,Zimbabwe,Lord's,Zimbabwe,Field,1st,349,8,9,64.6,5.4,349,349,None,Shan Masood,121,Imad Wasim,2,Draw
188,2020-09-01,2020,T20,West Indies,Abu Dhabi (ADSS),Pakistan,Field,2nd,127,6,5,12.1,10.5,159,127,1st,Saud Shakeel,65,Haris Rauf,4,Loss
189,2020-09-06,2020,ODI,South Africa,Sharjah Cricket Stadium,South Africa,Bat,2nd,245,6,4,28.3,8.66,237,245,2nd,Imam-ul-Haq,101,Naseem Shah,3,Win
190,2020-09-09,2020,T20,Australia,Lord's,Pakistan,Bat,1st,193,8,5,16.7,11.56,193,195,2nd,Mohammad Rizwan,71,Shadab Khan,2,Loss
191,2020-09-14,2020,T20,South Africa,Dubai International,South Africa,Field,1st,168,10,4,20.0,8.4,168,158,1st,Fakhar Zaman,39,Shadab Khan,3,Win
192,2020-09-21,2020,Test,South Africa,Sharjah Cricket Stadium,South Africa,Bat,2nd,330,7,10,114.7,2.88,320,330,2nd,Saud Shakeel,116,Shaheen Afridi,1,Win
193,2020-10-01,2020,T20,Sri Lanka,Lahore (Gaddafi),Sri Lanka,Bat,2nd,130,8,6,16.7,7.78,175,130,1st,Mohammad Rizwan,38,Mohammad Wasim Jr,3,Loss
194,2020-10-16,2020,ODI,West Indies,Abu Dhabi (ADSS),Pakistan,Bat,1st,196,3,5,11.6,16.9,196,184,1st,Saud Shakeel,73,Shaheen Afridi,5,Win
195,2020-10-25,2020,ODI,Sri Lanka,Basin Reserve,Sri Lanka,Field,1st,282,7,7,35.7,7.9,282,293,2nd,Mohammad Rizwan,120,Zaman Khan,3,Loss
196,2020-11-05,2020,Test,Zimbabwe,Wanderers,Zimbabwe,Bat,2nd,452,5,10,83.2,5.43,447,452,2nd,Shan Masood,195,Mohammad Wasim Jr,6,Win
197,2020-11-27,2020,ODI,England,Lahore (Gaddafi),Pakistan,Field,2nd,356,4,4,19.6,18.16,388,356,1st,Salman Agha,142,Imad Wasim,3,Loss
198,2020-12-05,2020,Test,England,Karachi (NSK),Pakistan,Field,2nd,357,5,8,97.6,3.66,399,357,1st,Fakhar Zaman,150,Imad Wasim,3,Loss
199,2020-12-07,2020,Test,South Africa,MCG,Pakistan,Bat,1st,373,9,10,76.3,4.89,373,377,2nd,Fakhar Zaman,155,Shadab Khan,2,Loss
200,2020-12-14,2020,Test,West Indies,Abu Dhabi (ADSS),Pakistan,Field,2nd,392,7,5,102.6,3.82,436,392,1st,Abdullah Shafique,127,Mohammad Wasim Jr,1,Loss
201,2020-12-18,2020,T20,Bangladesh,Wanderers,Bangladesh,Bat,2nd,149,3,6,6.6,22.58,167,149,1st,Salman Agha,78,Imad Wasim,3,Loss
202,2020-12-18,2020,Test,Afghanistan,Lord's,Pakistan,Bat,1st,339,8,7,64.6,5.25,339,345,2nd,Shan Masood,125,Abrar Ahmed,4,Loss
203,2020-12-21,2020,T20,Sri Lanka,Dubai International,Pakistan,Bat,1st,144,6,7,11.2,12.86,144,152,2nd,Mohammad Rizwan,66,Naseem Shah,6,Loss
204,2020-12-21,2020,Test,Afghanistan,Dubai International,Afghanistan,Field,1st,318,6,8,120.1,2.65,318,278,1st,Saud Shakeel,128,Haris Rauf,3,Win
205,2021-01-03,2021,T20,Afghanistan,Abu Dhabi (ADSS),Afghanistan,Bat,2nd,202,6,6,11.4,17.72,235,202,1st,Salman Agha,80,Shaheen Afridi,2,Loss
206,2021-01-27,2021,ODI,Australia,Eden Gardens,Australia,Bat,2nd,185,9,8,47.4,3.9,220,185,1st,Fakhar Zaman,80,Shadab Khan,3,Loss
207,2021-02-17,2021,T20,New Zealand,Multan Cricket Stadium,Pakistan,Bat,1st,167,9,4,16.8,9.94,167,0,None,Fakhar Zaman,71,Shadab Khan,1,No Result
208,2021-02-22,2021,ODI,India,Lahore (Gaddafi),India,Bat,2nd,280,4,5,17.9,15.64,270,280,2nd,Shan Masood,147,Mohammad Wasim Jr,3,Win
209,2021-02-24,2021,Test,Sri Lanka,Rawalpindi Cricket Stadium,Sri Lanka,Field,1st,382,10,8,77.4,4.94,382,382,None,Abdullah Shafique,146,Shaheen Afridi,3,Draw
210,2021-02-25,2021,ODI,South Africa,MCG,Pakistan,Field,2nd,205,3,10,17.5,11.71,0,205,None,Salman Agha,80,Zaman Khan,5,No Result
211,2021-03-04,2021,Test,Zimbabwe,MCG,Zimbabwe,Bat,2nd,289,3,6,85.9,3.36,311,289,1st,Babar Azam,81,Abrar Ahmed,4,Loss
212,2021-03-15,2021,Test,Bangladesh,Wanderers,Bangladesh,Bat,2nd,392,7,9,123.9,3.16,382,392,2nd,Saud Shakeel,121,Haris Rauf,4,Win
213,2021-04-11,2021,ODI,Sri Lanka,Rawalpindi Cricket Stadium,Sri Lanka,Field,1st,198,5,8,23.7,8.35,198,175,1st,Salman Agha,72,Mohammad Wasim Jr,4,Win
214,2021-04-14,2021,T20,Sri Lanka,Dubai International,Pakistan,Bat,1st,168,10,5,20.0,8.4,168,153,1st,Imam-ul-Haq,69,Shaheen Afridi,3,Win
215,2021-04-16,2021,T20,South Africa,Dubai International,South Africa,Field,1st,190,6,3,13.2,14.39,190,144,1st,Babar Azam,81,Naseem Shah,3,Win
216,2021-04-17,2021,ODI,South Africa,Wanderers,South Africa,Bat,2nd,216,7,3,36.8,5.87,247,216,1st,Babar Azam,19,Naseem Shah,1,Loss
217,2021-04-19,2021,Test,Afghanistan,Eden Gardens,Pakistan,Bat,1st,474,3,6,132.1,3.59,474,458,1st,Saud Shakeel,204,Shadab Khan,2,Win
218,2021-04-19,2021,T20,New Zealand,Karachi (NSK),New Zealand,Field,1st,139,6,6,13.0,10.69,139,144,2nd,Abdullah Shafique,20,Shaheen Afridi,4,Loss
219,2021-04-24,2021,T20,England,Multan Cricket Stadium,England,Bat,2nd,188,3,8,7.0,26.86,189,188,1st,Salman Agha,66,Naseem Shah,2,Loss
220,2021-04-28,2021,Test,Afghanistan,Abu Dhabi (ADSS),Afghanistan,Bat,2nd,389,9,5,111.6,3.49,403,389,1st,Imam-ul-Haq,137,Haris Rauf,4,Loss
221,2021-05-06,2021,T20,Zimbabwe,Eden Gardens,Pakistan,Field,2nd,187,8,5,14.7,12.72,184,187,2nd,Imam-ul-Haq,47,Shadab Khan,2,Win
222,2021-05-15,2021,Test,Zimbabwe,Wanderers,Zimbabwe,Field,1st,493,8,8,94.4,5.22,493,472,1st,Babar Azam,200,Imad Wasim,3,Win
223,2021-05-25,2021,Test,Zimbabwe,Abu Dhabi (ADSS),Zimbabwe,Field,1st,388,9,5,102.2,3.8,388,393,2nd,Abdullah Shafique,126,Mohammad Wasim Jr,4,Loss
224,2021-05-28,2021,Test,New Zealand,Sharjah Cricket Stadium,New Zealand,Field,1st,475,9,10,88.4,5.37,475,470,1st,Babar Azam,203,Imad Wasim,2,Win
225,2021-06-10,2021,T20,India,Dubai International,Pakistan,Field,2nd,182,3,5,6.5,28.0,203,182,1st,Salman Agha,46,Mohammad Wasim Jr,5,Loss
226,2021-06-20,2021,ODI,Sri Lanka,MCG,Sri Lanka,Field,1st,300,3,6,13.9,21.58,300,260,1st,Imam-ul-Haq,126,Haris Rauf,2,Win
227,2021-06-26,2021,Test,Sri Lanka,MCG,Sri Lanka,Bat,2nd,362,4,7,61.5,5.89,357,362,2nd,Fakhar Zaman,133,Mohammad Wasim Jr,2,Win
228,2021-06-26,2021,ODI,Sri Lanka,Rawalpindi Cricket Stadium,Sri Lanka,Bat,2nd,256,7,4,31.9,8.03,255,256,2nd,Abdullah Shafique,104,Haris Rauf,3,Win
229,2021-06-28,2021,Test,West Indies,Rawalpindi Cricket Stadium,West Indies,Bat,2nd,458,4,10,74.3,6.16,491,458,1st,Babar Azam,198,Abrar Ahmed,3,Loss
230,2021-07-06,2021,Test,England,Wanderers,England,Field,1st,412,3,7,136.9,3.01,412,418,2nd,Shan Masood,140,Abrar Ahmed,2,Loss
231,2021-07-19,2021,Test,India,Basin Reserve,India,Field,1st,403,7,5,86.2,4.68,403,403,None,Saud Shakeel,167,Mohammad Wasim Jr,3,Draw
232,2021-08-03,2021,ODI,Afghanistan,Multan Cricket Stadium,Afghanistan,Bat,2nd,288,7,3,31.1,9.26,279,288,2nd,Salman Agha,119,Naseem Shah,3,Win
233,2021-08-04,2021,T20,Bangladesh,Multan Cricket Stadium,Pakistan,Field,2nd,193,7,8,14.4,13.4,178,193,2nd,Mohammad Rizwan,94,Zaman Khan,4,Win
234,2021-08-10,2021,ODI,New Zealand,Rawalpindi Cricket Stadium,New Zealand,Bat,2nd,269,10,6,50.0,5.38,263,269,2nd,Fakhar Zaman,109,Imad Wasim,3,Win
235,2021-08-10,2021,T20,Bangladesh,Sharjah Cricket Stadium,Bangladesh,Bat,2nd,126,6,3,12.5,10.08,123,126,2nd,Abdullah Shafique,47,Haris Rauf,3,Win
236,2021-08-14,2021,Test,England,Lahore (Gaddafi),England,Bat,2nd,339,7,7,105.7,3.21,326,339,2nd,Saud Shakeel,129,Shadab Khan,3,Win
237,2021-08-25,2021,Test,West Indies,Abu Dhabi (ADSS),West Indies,Bat,2nd,408,3,8,101.5,4.02,414,408,1st,Imam-ul-Haq,145,Zaman Khan,3,Loss
238,2021-08-28,2021,T20,Bangladesh,Basin Reserve,Bangladesh,Field,1st,174,7,8,14.8,11.76,174,179,2nd,Mohammad Rizwan,47,Haris Rauf,2,Loss
239,2021-10-02,2021,Test,Zimbabwe,MCG,Pakistan,Field,2nd,279,3,9,71.9,3.88,294,279,1st,Abdullah Shafique,94,Imad Wasim,1,Loss
240,2021-10-14,2021,ODI,Australia,Karachi (NSK),Australia,Bat,2nd,331,10,6,50.0,6.62,357,331,1st,Salman Agha,116,Shaheen Afridi,2,Loss
241,2021-10-15,2021,Test,Sri Lanka,Lahore (Gaddafi),Pakistan,Field,2nd,288,4,9,98.7,2.92,300,288,1st,Shan Masood,104,Imad Wasim,2,Loss
242,2021-11-01,2021,T20,Afghanistan,Lahore (Gaddafi),Afghanistan,Bat,2nd,161,9,6,18.6,8.66,156,161,2nd,Imam-ul-Haq,75,Zaman Khan,6,Win
243,2021-11-09,2021,T20,Sri Lanka,Dubai International,Pakistan,Field,2nd,144,10,5,20.0,7.2,0,144,None,Abdullah Shafique,57,Haris Rauf,4,No Result
244,2021-11-23,2021,Test,Australia,Lahore (Gaddafi),Australia,Bat,2nd,347,8,9,114.1,3.04,364,347,1st,Salman Agha,145,Haris Rauf,3,Loss
245,2021-12-02,2021,Test,South Africa,Lord's,Pakistan,Bat,1st,352,9,7,119.8,2.94,352,355,2nd,Abdullah Shafique,127,Naseem Shah,3,Loss
246,2021-12-07,2021,ODI,England,MCG,England,Bat,2nd,222,7,5,37.7,5.89,217,222,2nd,Abdullah Shafique,91,Shadab Khan,4,Win
247,2021-12-11,2021,Test,England,Lahore (Gaddafi),Pakistan,Bat,1st,437,5,10,86.1,5.08,437,413,1st,Shan Masood,181,Mohammad Wasim Jr,4,Win
248,2021-12-18,2021,ODI,New Zealand,Rawalpindi Cricket Stadium,Pakistan,Bat,1st,239,8,6,39.4,6.07,239,252,2nd,Salman Agha,61,Imad Wasim,2,Loss
249,2021-12-20,2021,Test,India,Abu Dhabi (ADSS),India,Bat,2nd,482,10,7,67.6,7.13,483,482,1st,Abdullah Shafique,204,Shadab Khan,2,Loss
250,2022-01-01,2022,T20,New Zealand,Wanderers,Pakistan,Field,2nd,152,4,7,9.1,16.7,153,152,1st,Saud Shakeel,61,Naseem Shah,1,Loss
251,2022-01-10,2022,T20,West Indies,Eden Gardens,West Indies,Field,1st,159,6,6,12.4,12.82,159,151,1st,Babar Azam,84,Imad Wasim,5,Win
252,2022-01-12,2022,ODI,England,Eden Gardens,England,Bat,2nd,321,9,5,43.9,7.31,317,321,2nd,Mohammad Rizwan,79,Abrar Ahmed,3,Win
253,2022-02-03,2022,Test,England,Abu Dhabi (ADSS),England,Bat,2nd,260,6,6,93.8,2.77,273,260,1st,Salman Agha,115,Haris Rauf,3,Loss
254,2022-02-04,2022,ODI,Zimbabwe,Karachi (NSK),Pakistan,Field,2nd,237,3,7,15.3,15.49,229,237,2nd,Fakhar Zaman,70,Naseem Shah,4,Win
255,2022-02-15,2022,Test,Afghanistan,Rawalpindi Cricket Stadium,Pakistan,Bat,1st,435,4,10,102.7,4.24,435,391,1st,Abdullah Shafique,147,Zaman Khan,2,Win
256,2022-02-26,2022,ODI,New Zealand,Lahore (Gaddafi),New Zealand,Bat,2nd,226,5,8,25.8,8.76,223,226,2nd,Shan Masood,101,Mohammad Wasim Jr,2,Win
257,2022-03-10,2022,T20,South Africa,Karachi (NSK),South Africa,Bat,2nd,159,10,3,19.4,8.2,155,159,2nd,Fakhar Zaman,30,Naseem Shah,3,Win
258,2022-03-11,2022,T20,Sri Lanka,Dubai International,Pakistan,Bat,1st,133,7,9,14.9,8.93,133,113,1st,Saud Shakeel,78,Abrar Ahmed,5,Win
259,2022-03-15,2022,Test,West Indies,Eden Gardens,West Indies,Field,1st,352,7,6,79.3,4.44,352,323,1st,Salman Agha,115,Naseem Shah,4,Win
260,2022-03-16,2022,ODI,Afghanistan,Lord's,Pakistan,Bat,1st,316,8,6,40.5,7.8,316,293,1st,Babar Azam,146,Shadab Khan,3,Win
261,2022-03-16,2022,T20,Sri Lanka,Dubai International,Sri Lanka,Field,1st,171,5,4,8.9,19.21,171,156,1st,Shan Masood,71,Naseem Shah,2,Win
262,2022-03-21,2022,ODI,West Indies,Lahore (Gaddafi),West Indies,Field,1st,235,4,9,18.4,12.77,235,240,2nd,Babar Azam,69,Shaheen Afridi,3,Loss
263,2022-03-24,2022,Test,New Zealand,Eden Gardens,New Zealand,Bat,2nd,344,10,3,99.1,3.47,354,344,1st,Fakhar Zaman,127,Haris Rauf,3,Loss
264,2022-04-25,2022,Test,New Zealand,Eden Gardens,New Zealand,Field,1st,342,10,8,53.5,6.39,342,346,2nd,Mohammad Rizwan,141,Shadab Khan,5,Loss
265,2022-05-14,2022,Test,Zimbabwe,Karachi (NSK),Zimbabwe,Field,1st,450,5,8,113.8,3.95,450,437,1st,Babar Azam,175,Imad Wasim,3,Win
266,2022-05-18,2022,ODI,Zimbabwe,Lord's,Zimbabwe,Bat,2nd,216,6,8,29.7,7.27,242,216,1st,Mohammad Rizwan,92,Abrar Ahmed,1,Loss
267,2022-05-23,2022,ODI,Sri Lanka,MCG,Pakistan,Field,2nd,389,7,9,34.4,11.31,379,389,2nd,Saud Shakeel,136,Haris Rauf,2,Win
268,2022-05-25,2022,T20,Australia,Eden Gardens,Pakistan,Field,2nd,186,5,8,9.2,20.22,183,186,2nd,Salman Agha,66,Zaman Khan,5,Win
269,2022-06-03,2022,ODI,South Africa,Multan Cricket Stadium,Pakistan,Field,2nd,304,9,9,40.8,7.45,299,304,2nd,Imam-ul-Haq,114,Naseem Shah,5,Win
270,2022-06-15,2022,Test,Zimbabwe,Lord's,Zimbabwe,Bat,2nd,346,4,6,76.8,4.51,347,346,1st,Saud Shakeel,127,Shaheen Afridi,2,Loss
271,2022-06-17,2022,T20,England,Karachi (NSK),Pakistan,Field,2nd,230,8,6,16.8,13.69,225,230,2nd,Mohammad Rizwan,91,Zaman Khan,3,Win
272,2022-06-18,2022,ODI,Sri Lanka,Lahore (Gaddafi),Pakistan,Field,2nd,335,4,7,21.8,15.37,326,335,2nd,Imam-ul-Haq,87,Haris Rauf,3,Win
273,2022-06-26,2022,Test,Sri Lanka,Lahore (Gaddafi),Sri Lanka,Field,1st,391,3,6,66.8,5.85,391,391,None,Saud Shakeel,160,Shadab Khan,4,Draw
274,2022-07-11,2022,ODI,Sri Lanka,Basin Reserve,Pakistan,Field,2nd,217,9,5,43.4,5.0,209,217,2nd,Mohammad Rizwan,76,Abrar Ahmed,3,Win
275,2022-07-16,2022,Test,South Africa,Multan Cricket Stadium,Pakistan,Field,2nd,453,5,10,73.2,6.19,451,453,2nd,Babar Azam,191,Shaheen Afridi,3,Win
276,2022-08-10,2022,ODI,Australia,Multan Cricket Stadium,Pakistan,Bat,1st,251,9,4,42.8,5.86,251,235,1st,Salman Agha,76,Haris Rauf,3,Win
277,2022-08-10,2022,ODI,India,MCG,India,Field,1st,219,5,5,24.4,8.98,219,0,None,Fakhar Zaman,78,Naseem Shah,3,No Result
278,2022-08-21,2022,ODI,Afghanistan,Karachi (NSK),Pakistan,Bat,1st,217,9,9,49.7,4.37,217,209,1st,Salman Agha,72,Imad Wasim,3,Win
279,2022-09-03,2022,ODI,England,Karachi (NSK),England,Field,1st,270,10,7,49.9,5.41,270,282,2nd,Salman Agha,83,Haris Rauf,5,Loss
280,2022-09-03,2022,Test,Zimbabwe,Eden Gardens,Zimbabwe,Bat,2nd,399,10,6,89.9,4.44,392,399,2nd,Shan Masood,135,Naseem Shah,4,Win
281,2022-09-09,2022,T20,New Zealand,Rawalpindi Cricket Stadium,New Zealand,Bat,2nd,165,4,3,7.7,21.43,174,165,1st,Shan Masood,37,Mohammad Wasim Jr,3,Loss
282,2022-09-21,2022,ODI,West Indies,Lahore (Gaddafi),West Indies,Bat,2nd,232,4,5,21.6,10.74,225,232,2nd,Imam-ul-Haq,88,Zaman Khan,3,Win
283,2022-09-24,2022,Test,Zimbabwe,MCG,Zimbabwe,Field,1st,337,8,6,101.6,3.32,337,344,2nd,Imam-ul-Haq,113,Mohammad Wasim Jr,3,Loss
284,2022-09-26,2022,T20,Zimbabwe,MCG,Zimbabwe,Bat,2nd,156,7,5,12.8,12.19,181,156,1st,Mohammad Rizwan,59,Naseem Shah,4,Loss
285,2022-10-01,2022,T20,Australia,Dubai International,Pakistan,Field,2nd,140,10,3,19.4,7.22,154,140,1st,Salman Agha,85,Imad Wasim,3,Loss
286,2022-10-06,2022,T20,South Africa,Sharjah Cricket Stadium,South Africa,Field,1st,131,6,3,12.1,10.83,131,0,None,Imam-ul-Haq,34,Shaheen Afridi,2,No Result
287,2022-10-09,2022,Test,Zimbabwe,Dubai International,Pakistan,Field,2nd,382,7,9,95.7,3.99,381,382,2nd,Mohammad Rizwan,150,Shadab Khan,2,Win
288,2022-10-18,2022,ODI,England,Eden Gardens,England,Bat,2nd,294,6,4,30.8,9.55,326,294,1st,Abdullah Shafique,102,Naseem Shah,1,Loss
289,2022-11-15,2022,ODI,Sri Lanka,Lord's,Sri Lanka,Field,1st,293,10,7,49.7,5.9,293,299,2nd,Saud Shakeel,82,Shaheen Afridi,3,Loss
290,2022-11-18,2022,ODI,New Zealand,Sharjah Cricket Stadium,Pakistan,Field,2nd,143,6,5,26.8,5.34,182,143,1st,Salman Agha,76,Shadab Khan,4,Loss
291,2022-11-19,2022,ODI,Afghanistan,Wanderers,Afghanistan,Bat,2nd,281,6,5,29.3,9.59,272,281,2nd,Salman Agha,108,Naseem Shah,3,Win
292,2022-11-22,2022,T20,Zimbabwe,MCG,Pakistan,Field,2nd,133,8,4,14.3,9.3,125,133,2nd,Mohammad Rizwan,48,Abrar Ahmed,2,Win
293,2022-11-22,2022,Test,England,Basin Reserve,Pakistan,Field,2nd,272,8,5,65.0,4.18,263,272,2nd,Mohammad Rizwan,76,Mohammad Wasim Jr,3,Win
294,2022-11-25,2022,ODI,Sri Lanka,Lahore (Gaddafi),Sri Lanka,Bat,2nd,284,9,4,46.1,6.16,279,284,2nd,Fakhar Zaman,129,Zaman Khan,4,Win
295,2022-11-28,2022,Test,Sri Lanka,Karachi (NSK),Sri Lanka,Field,1st,220,4,8,115.2,1.91,220,200,1st,Imam-ul-Haq,80,Imad Wasim,2,Win
296,2022-12-04,2022,T20,Zimbabwe,MCG,Pakistan,Field,2nd,192,6,5,11.8,16.27,191,192,2nd,Shan Masood,88,Shaheen Afridi,3,Win
297,2022-12-06,2022,T20,Zimbabwe,Eden Gardens,Pakistan,Field,2nd,180,9,6,18.0,10.0,179,180,2nd,Salman Agha,56,Zaman Khan,4,Win
298,2022-12-10,2022,T20,West Indies,Lahore (Gaddafi),West Indies,Field,1st,199,4,9,7.0,28.43,199,0,None,Abdullah Shafique,86,Zaman Khan,2,No Result
299,2022-12-18,2022,T20,New Zealand,Multan Cricket Stadium,Pakistan,Field,2nd,136,4,5,6.1,22.3,130,136,2nd,Imam-ul-Haq,46,Mohammad Wasim Jr,4,Win
300,2022-12-23,2022,T20,Bangladesh,MCG,Pakistan,Bat,1st,182,3,7,7.3,24.93,182,148,1st,Imam-ul-Haq,52,Imad Wasim,3,Win
301,2022-12-26,2022,T20,England,Eden Gardens,England,Field,1st,177,10,8,20.0,8.85,177,183,2nd,Imam-ul-Haq,72,Imad Wasim,4,Loss
302,2023-01-07,2023,Test,England,Eden Gardens,England,Bat,2nd,351,7,10,105.0,3.34,371,351,1st,Shan Masood,129,Abrar Ahmed,2,Loss
303,2023-01-08,2023,T20,Bangladesh,MCG,Bangladesh,Field,1st,175,3,4,5.1,34.31,175,158,1st,Salman Agha,49,Naseem Shah,3,Win
304,2023-01-13,2023,T20,Zimbabwe,Lord's,Zimbabwe,Bat,2nd,149,4,3,7.1,20.99,137,149,2nd,Salman Agha,56,Mohammad Wasim Jr,2,Win
305,2023-01-20,2023,ODI,England,MCG,Pakistan,Bat,1st,267,8,5,39.1,6.83,267,235,1st,Fakhar Zaman,83,Naseem Shah,3,Win
